method,path,module,function,description,tables_in_router,smoketest_status
GET,/api/metros/{cbsa_code}/stats,api.routers.lookups,get_metro_stats,Get detailed stats for a specific metro area,public.cbsa_counties; public.cbsa_definitions; public.f7_employers_deduped; public.msa_union_stats; public.naics_sectors; public.union_sector; public.unions_master; public.v_naics_union_density,
GET,/api/multi-employer/groups,api.routers.corporate,get_multi_employer_groups,Get list of multi-employer agreement groups,public.corporate_hierarchy; public.corporate_identifier_crosswalk; public.f7_employers_deduped; public.gleif_us_entities; public.mergent_employers; public.sec_companies; public.v_multi_employer_groups,
GET,/api/multi-employer/stats,api.routers.corporate,get_multi_employer_stats,Get multi-employer agreement deduplication statistics,public.corporate_hierarchy; public.corporate_identifier_crosswalk; public.f7_employers_deduped; public.gleif_us_entities; public.mergent_employers; public.sec_companies; public.v_multi_employer_groups,
GET,/api/museums/summary,api.routers.museums,get_museum_sector_summary,Get overall summary of museum sector (targets + unionized),public.v_museum_organizing_targets; public.v_museum_target_stats; public.v_museum_unionized,
GET,/api/museums/targets,api.routers.museums,search_museum_targets,Search museum organizing targets.,public.v_museum_organizing_targets; public.v_museum_target_stats; public.v_museum_unionized,
GET,/api/museums/targets/cities,api.routers.museums,get_museum_target_cities,Get list of cities with museum targets for dropdown,public.v_museum_organizing_targets; public.v_museum_target_stats; public.v_museum_unionized,
GET,/api/museums/targets/stats,api.routers.museums,get_museum_target_stats,Get summary statistics for museum organizing targets by tier,public.v_museum_organizing_targets; public.v_museum_target_stats; public.v_museum_unionized,
GET,/api/museums/targets/{target_id},api.routers.museums,get_museum_target_detail,Get detailed information for a specific museum target,public.v_museum_organizing_targets; public.v_museum_target_stats; public.v_museum_unionized,
GET,/api/museums/unionized,api.routers.museums,get_unionized_museums,Get list of already-unionized museums for reference,public.v_museum_organizing_targets; public.v_museum_target_stats; public.v_museum_unionized,
GET,/api/naics/stats,api.routers.employers,get_naics_stats,Get statistics about NAICS code granularity and sources,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,200
GET,/api/nlrb/election/{case_number},api.routers.nlrb,get_nlrb_election_detail,Get detailed information about a specific election,public.f7_employers_deduped; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.ref_nlrb_industry_win_rates; public.ref_nlrb_size_win_rates; public.ref_nlrb_state_win_rates; public.unions_master,
GET,/api/nlrb/elections/by-affiliation,api.routers.nlrb,get_nlrb_elections_by_affiliation,Get election statistics by union affiliation,public.f7_employers_deduped; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.ref_nlrb_industry_win_rates; public.ref_nlrb_size_win_rates; public.ref_nlrb_state_win_rates; public.unions_master,
GET,/api/nlrb/elections/by-state,api.routers.nlrb,get_nlrb_elections_by_state,Get election statistics by state,public.f7_employers_deduped; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.ref_nlrb_industry_win_rates; public.ref_nlrb_size_win_rates; public.ref_nlrb_state_win_rates; public.unions_master,
GET,/api/nlrb/elections/by-year,api.routers.nlrb,get_nlrb_elections_by_year,Get election statistics by year,public.f7_employers_deduped; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.ref_nlrb_industry_win_rates; public.ref_nlrb_size_win_rates; public.ref_nlrb_state_win_rates; public.unions_master,200
GET,/api/nlrb/elections/map,api.routers.nlrb,get_nlrb_elections_map,Get election data for map visualization,public.f7_employers_deduped; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.ref_nlrb_industry_win_rates; public.ref_nlrb_size_win_rates; public.ref_nlrb_state_win_rates; public.unions_master,200
GET,/api/nlrb/elections/search,api.routers.nlrb,search_nlrb_elections,Search NLRB elections with filters,public.f7_employers_deduped; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.ref_nlrb_industry_win_rates; public.ref_nlrb_size_win_rates; public.ref_nlrb_state_win_rates; public.unions_master,200
GET,/api/nlrb/patterns,api.routers.nlrb,get_nlrb_patterns,Return NLRB historical success pattern reference data:,public.f7_employers_deduped; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.ref_nlrb_industry_win_rates; public.ref_nlrb_size_win_rates; public.ref_nlrb_state_win_rates; public.unions_master,
GET,/api/nlrb/summary,api.routers.nlrb,get_nlrb_summary,Get overall NLRB statistics,public.f7_employers_deduped; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.ref_nlrb_industry_win_rates; public.ref_nlrb_size_win_rates; public.ref_nlrb_state_win_rates; public.unions_master,200
GET,/api/nlrb/ulp/by-section,api.routers.nlrb,get_nlrb_ulp_by_section,Get ULP case counts by NLRA section,public.f7_employers_deduped; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.ref_nlrb_industry_win_rates; public.ref_nlrb_size_win_rates; public.ref_nlrb_state_win_rates; public.unions_master,
GET,/api/nlrb/ulp/search,api.routers.nlrb,search_nlrb_ulp,Search ULP (Unfair Labor Practice) cases,public.f7_employers_deduped; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.ref_nlrb_industry_win_rates; public.ref_nlrb_size_win_rates; public.ref_nlrb_state_win_rates; public.unions_master,
GET,/api/organizing/by-state,api.routers.organizing,get_organizing_by_state,Get combined organizing activity by state,public.data_source_freshness; public.f7_employers_deduped; public.mergent_employers; public.mv_organizing_scorecard; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_participants; public.ny_state_contracts; public.nyc_contracts; public.osha_establishments; public.osha_f7_matches; public.ref_nlrb_industry_win_rates; public.ref_nlrb_state_win_rates; public.ref_rtw_states; public.v_organizing_by_state; public.v_organizing_by_year; public.v_organizing_scorecard,
GET,/api/organizing/scorecard,api.routers.organizing,get_organizing_scorecard,Get scored organizing targets from pre-computed materialized view (0-90 points):,public.data_source_freshness; public.f7_employers_deduped; public.mergent_employers; public.mv_organizing_scorecard; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_participants; public.ny_state_contracts; public.nyc_contracts; public.osha_establishments; public.osha_f7_matches; public.ref_nlrb_industry_win_rates; public.ref_nlrb_state_win_rates; public.ref_rtw_states; public.v_organizing_by_state; public.v_organizing_by_year; public.v_organizing_scorecard,200
GET,/api/organizing/scorecard/{estab_id},api.routers.organizing,get_scorecard_detail,Get detailed scorecard for a specific establishment.,public.data_source_freshness; public.f7_employers_deduped; public.mergent_employers; public.mv_organizing_scorecard; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_participants; public.ny_state_contracts; public.nyc_contracts; public.osha_establishments; public.osha_f7_matches; public.ref_nlrb_industry_win_rates; public.ref_nlrb_state_win_rates; public.ref_rtw_states; public.v_organizing_by_state; public.v_organizing_by_year; public.v_organizing_scorecard,
GET,/api/organizing/siblings/{estab_id},api.routers.organizing,get_sibling_employers,Find the most similar unionized F7 employers for a given OSHA target.,public.data_source_freshness; public.f7_employers_deduped; public.mergent_employers; public.mv_organizing_scorecard; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_participants; public.ny_state_contracts; public.nyc_contracts; public.osha_establishments; public.osha_f7_matches; public.ref_nlrb_industry_win_rates; public.ref_nlrb_state_win_rates; public.ref_rtw_states; public.v_organizing_by_state; public.v_organizing_by_year; public.v_organizing_scorecard,
GET,/api/organizing/summary,api.routers.organizing,get_organizing_summary,Get combined organizing activity summary (Elections + VR),public.data_source_freshness; public.f7_employers_deduped; public.mergent_employers; public.mv_organizing_scorecard; public.nlrb_allegations; public.nlrb_case_types; public.nlrb_cases; public.nlrb_participants; public.ny_state_contracts; public.nyc_contracts; public.osha_establishments; public.osha_f7_matches; public.ref_nlrb_industry_win_rates; public.ref_nlrb_state_win_rates; public.ref_rtw_states; public.v_organizing_by_state; public.v_organizing_by_year; public.v_organizing_scorecard,
GET,/api/osha/by-state,api.routers.osha,get_osha_by_state,Get OSHA summary statistics by state,public.osha_accidents; public.osha_establishments; public.osha_f7_matches; public.osha_violation_summary; public.osha_violations_detail; public.v_employer_safety_profile; public.v_osha_establishment_search; public.v_osha_high_severity_recent; public.v_osha_organizing_targets; public.v_osha_state_summary,
GET,/api/osha/employer-safety/{f7_employer_id},api.routers.osha,get_employer_safety_profile,Get OSHA safety profile for an F-7 employer,public.osha_accidents; public.osha_establishments; public.osha_f7_matches; public.osha_violation_summary; public.osha_violations_detail; public.v_employer_safety_profile; public.v_osha_establishment_search; public.v_osha_high_severity_recent; public.v_osha_organizing_targets; public.v_osha_state_summary,
GET,/api/osha/establishments/search,api.routers.osha,search_osha_establishments,Search OSHA establishments with filters,public.osha_accidents; public.osha_establishments; public.osha_f7_matches; public.osha_violation_summary; public.osha_violations_detail; public.v_employer_safety_profile; public.v_osha_establishment_search; public.v_osha_high_severity_recent; public.v_osha_organizing_targets; public.v_osha_state_summary,200
GET,/api/osha/establishments/{establishment_id},api.routers.osha,get_osha_establishment,Get detailed OSHA establishment info including violations and accidents,public.osha_accidents; public.osha_establishments; public.osha_f7_matches; public.osha_violation_summary; public.osha_violations_detail; public.v_employer_safety_profile; public.v_osha_establishment_search; public.v_osha_high_severity_recent; public.v_osha_organizing_targets; public.v_osha_state_summary,
GET,/api/osha/high-severity,api.routers.osha,get_osha_high_severity,Get recent high-severity violations (Willful/Repeat),public.osha_accidents; public.osha_establishments; public.osha_f7_matches; public.osha_violation_summary; public.osha_violations_detail; public.v_employer_safety_profile; public.v_osha_establishment_search; public.v_osha_high_severity_recent; public.v_osha_organizing_targets; public.v_osha_state_summary,
GET,/api/osha/organizing-targets,api.routers.osha,get_osha_organizing_targets,Get non-union establishments with significant safety violations (organizing targets),public.osha_accidents; public.osha_establishments; public.osha_f7_matches; public.osha_violation_summary; public.osha_violations_detail; public.v_employer_safety_profile; public.v_osha_establishment_search; public.v_osha_high_severity_recent; public.v_osha_organizing_targets; public.v_osha_state_summary,
GET,/api/osha/summary,api.routers.osha,get_osha_summary,Get OSHA database summary statistics,public.osha_accidents; public.osha_establishments; public.osha_f7_matches; public.osha_violation_summary; public.osha_violations_detail; public.v_employer_safety_profile; public.v_osha_establishment_search; public.v_osha_high_severity_recent; public.v_osha_organizing_targets; public.v_osha_state_summary,
GET,/api/osha/unified-matches,api.routers.employers,search_osha_unified_matches,Search OSHA establishments matched to unified employers,public.cbsa_definitions; public.employer_comparables; public.employer_review_flags; public.f7_employers_deduped; public.manual_employers; public.mergent_employers; public.mv_employer_search; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.nlrb_voluntary_recognition; public.osha_establishments; public.osha_f7_matches; public.osha_unified_matches; public.osha_violation_summary; public.osha_violations_detail; public.ps_employers; public.unified_employers_osha; public.unions_master,200
GET,/api/projections/industries/{sector},api.routers.projections,get_sector_sub_industries,Get all sub-industries for a 2-digit NAICS sector with projections.,public.bls_industry_occupation_matrix; public.bls_industry_projections; public.f7_employers_deduped; public.naics_sectors,
GET,/api/projections/industry/{naics_code},api.routers.projections,get_industry_projections,Get employment projections for a NAICS 2-digit sector,public.bls_industry_occupation_matrix; public.bls_industry_projections; public.f7_employers_deduped; public.naics_sectors,
GET,/api/projections/matrix/{matrix_code},api.routers.projections,get_industry_by_matrix_code,"Get projection for a specific BLS industry matrix code (e.g., 238110, 621610).",public.bls_industry_occupation_matrix; public.bls_industry_projections; public.f7_employers_deduped; public.naics_sectors,
GET,/api/projections/matrix/{matrix_code}/occupations,api.routers.projections,get_occupations_by_matrix_code,Get occupation breakdown for a specific industry matrix code.,public.bls_industry_occupation_matrix; public.bls_industry_projections; public.f7_employers_deduped; public.naics_sectors,
GET,/api/projections/naics/{naics_2digit},api.routers.projections,get_naics_projections,Get employment projections for a NAICS 2-digit sector (legacy),public.bls_industry_occupation_matrix; public.bls_industry_projections; public.f7_employers_deduped; public.naics_sectors,
GET,/api/projections/occupations/{naics_code},api.routers.projections,get_occupation_projections_v2,Get top occupations in a NAICS sector from bls_industry_occupation_matrix,public.bls_industry_occupation_matrix; public.bls_industry_projections; public.f7_employers_deduped; public.naics_sectors,
GET,/api/projections/search,api.routers.projections,search_industry_projections,Search and filter industry projections across all sectors.,public.bls_industry_occupation_matrix; public.bls_industry_projections; public.f7_employers_deduped; public.naics_sectors,200
GET,/api/projections/summary,api.routers.projections,get_projections_summary,Get summary of industry projections: counts by growth category + top/bottom industries,public.bls_industry_occupation_matrix; public.bls_industry_projections; public.f7_employers_deduped; public.naics_sectors,200
GET,/api/projections/top,api.routers.projections,get_top_projections,Get top growing or declining industries,public.bls_industry_occupation_matrix; public.bls_industry_projections; public.f7_employers_deduped; public.naics_sectors,200
GET,/api/public-sector/benchmarks,api.routers.public_sector,get_public_sector_benchmarks,Get state-level public sector benchmarks,public.ps_bargaining_units; public.ps_employers; public.ps_parent_unions; public.ps_union_locals; public.public_sector_benchmarks,
GET,/api/public-sector/employer-types,api.routers.public_sector,get_public_sector_employer_types,Get list of employer types with counts,public.ps_bargaining_units; public.ps_employers; public.ps_parent_unions; public.ps_union_locals; public.public_sector_benchmarks,
GET,/api/public-sector/employers,api.routers.public_sector,search_public_sector_employers,Search public sector employers,public.ps_bargaining_units; public.ps_employers; public.ps_parent_unions; public.ps_union_locals; public.public_sector_benchmarks,
GET,/api/public-sector/locals,api.routers.public_sector,search_public_sector_locals,Search public sector union locals,public.ps_bargaining_units; public.ps_employers; public.ps_parent_unions; public.ps_union_locals; public.public_sector_benchmarks,
GET,/api/public-sector/parent-unions,api.routers.public_sector,get_public_sector_parent_unions,Get list of parent unions for filtering,public.ps_bargaining_units; public.ps_employers; public.ps_parent_unions; public.ps_union_locals; public.public_sector_benchmarks,
GET,/api/public-sector/stats,api.routers.public_sector,get_public_sector_stats,Get summary statistics for public sector data,public.ps_bargaining_units; public.ps_employers; public.ps_parent_unions; public.ps_union_locals; public.public_sector_benchmarks,
GET,/api/sectors/list,api.routers.sectors,list_sectors,List all available sectors with target counts,public.mergent_employers,
GET,/api/sectors/{sector}/summary,api.routers.sectors,get_sector_summary,Get summary statistics for a sector,public.mergent_employers,
GET,/api/sectors/{sector}/targets,api.routers.sectors,search_sector_targets,Search organizing targets in a specific sector,public.mergent_employers,
GET,/api/sectors/{sector}/targets/cities,api.routers.sectors,get_sector_target_cities,Get list of cities with targets for dropdown,public.mergent_employers,
GET,/api/sectors/{sector}/targets/stats,api.routers.sectors,get_sector_target_stats,Get summary statistics by tier for a sector,public.mergent_employers,
GET,/api/sectors/{sector}/targets/{target_id},api.routers.sectors,get_sector_target_detail,Get detailed information for a specific target,public.mergent_employers,
GET,/api/sectors/{sector}/unionized,api.routers.sectors,get_sector_unionized,Get list of unionized employers in sector for reference,public.mergent_employers,
GET,/api/stats/breakdown,api.routers.health,get_stats_breakdown,Get breakdown statistics for the filter panel,public.bls_industry_occupation_matrix; public.bls_industry_projections; public.cbsa_definitions; public.f7_employers_deduped; public.naics_sectors; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_voluntary_recognition; public.osha_establishments; public.unions_master,200
GET,/api/summary,api.routers.health,get_platform_summary,Get overall platform summary statistics,public.bls_industry_occupation_matrix; public.bls_industry_projections; public.cbsa_definitions; public.f7_employers_deduped; public.naics_sectors; public.nlrb_case_types; public.nlrb_cases; public.nlrb_elections; public.nlrb_voluntary_recognition; public.osha_establishments; public.unions_master,200
GET,/api/trends/affiliations/summary,api.routers.trends,get_affiliation_trends_summary,Get membership trends summary for top affiliations,public.f7_employers_deduped; public.lm_data; public.naics_sectors; public.nlrb_elections; public.nlrb_tallies; public.unions_master; public.v_union_members_deduplicated,
GET,/api/trends/by-affiliation/{aff_abbr},api.routers.trends,get_affiliation_trends,Get membership trends for a specific affiliation,public.f7_employers_deduped; public.lm_data; public.naics_sectors; public.nlrb_elections; public.nlrb_tallies; public.unions_master; public.v_union_members_deduplicated,
GET,/api/trends/by-state/{state},api.routers.trends,get_state_trends,Get membership trends for a specific state,public.f7_employers_deduped; public.lm_data; public.naics_sectors; public.nlrb_elections; public.nlrb_tallies; public.unions_master; public.v_union_members_deduplicated,
GET,/api/trends/elections,api.routers.trends,get_election_trends,Get NLRB election trends by year,public.f7_employers_deduped; public.lm_data; public.naics_sectors; public.nlrb_elections; public.nlrb_tallies; public.unions_master; public.v_union_members_deduplicated,
GET,/api/trends/elections/by-affiliation/{aff_abbr},api.routers.trends,get_election_trends_by_affiliation,Get NLRB election trends for a specific union affiliation,public.f7_employers_deduped; public.lm_data; public.naics_sectors; public.nlrb_elections; public.nlrb_tallies; public.unions_master; public.v_union_members_deduplicated,
GET,/api/trends/national,api.routers.trends,get_national_trends,Get national union membership trends by year (2010-2024) with deduplicated estimates,public.f7_employers_deduped; public.lm_data; public.naics_sectors; public.nlrb_elections; public.nlrb_tallies; public.unions_master; public.v_union_members_deduplicated,
GET,/api/trends/sectors,api.routers.trends,get_sector_trends,Get employer distribution by NAICS sector,public.f7_employers_deduped; public.lm_data; public.naics_sectors; public.nlrb_elections; public.nlrb_tallies; public.unions_master; public.v_union_members_deduplicated,
GET,/api/trends/states/summary,api.routers.trends,get_state_trends_summary,Get membership summary by state for latest year,public.f7_employers_deduped; public.lm_data; public.naics_sectors; public.nlrb_elections; public.nlrb_tallies; public.unions_master; public.v_union_members_deduplicated,
GET,/api/unions/cities,api.routers.unions,get_union_cities,"Get cities for a state from unions_master, ordered by union count",public.cbsa_definitions; public.f7_employers_deduped; public.lm_data; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.unions_master; public.v_union_display_names,
GET,/api/unions/locals/{affiliation},api.routers.unions,get_locals_for_affiliation,Get local unions for a national affiliation,public.cbsa_definitions; public.f7_employers_deduped; public.lm_data; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.unions_master; public.v_union_display_names,
GET,/api/unions/national,api.routers.unions,get_national_unions,Get national/international unions aggregated by affiliation,public.cbsa_definitions; public.f7_employers_deduped; public.lm_data; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.unions_master; public.v_union_display_names,200
GET,/api/unions/national/{aff_abbr},api.routers.unions,get_national_union_detail,Get detailed info for a national union affiliation,public.cbsa_definitions; public.f7_employers_deduped; public.lm_data; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.unions_master; public.v_union_display_names,
GET,/api/unions/search,api.routers.unions,search_unions,Search unions with filters including display names and hierarchy type.,public.cbsa_definitions; public.f7_employers_deduped; public.lm_data; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.unions_master; public.v_union_display_names,200
GET,/api/unions/types,api.routers.unions,get_union_types,Get list of union designation types with counts,public.cbsa_definitions; public.f7_employers_deduped; public.lm_data; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.unions_master; public.v_union_display_names,200
GET,/api/unions/{f_num},api.routers.unions,get_union_detail,Get full union details including NLRB history,public.cbsa_definitions; public.f7_employers_deduped; public.lm_data; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.unions_master; public.v_union_display_names,
GET,/api/unions/{f_num}/employers,api.routers.unions,get_union_employers,Get all employers for a specific union,public.cbsa_definitions; public.f7_employers_deduped; public.lm_data; public.nlrb_elections; public.nlrb_participants; public.nlrb_tallies; public.unions_master; public.v_union_display_names,
GET,/api/vr/map,api.routers.vr,get_vr_map_data,Get VR cases with coordinates for mapping,public.f7_employers_deduped; public.nlrb_regions; public.nlrb_voluntary_recognition; public.unions_master; public.v_vr_affiliation_summary; public.v_vr_map_data; public.v_vr_new_employers; public.v_vr_state_summary; public.v_vr_summary_stats; public.v_vr_to_f7_pipeline; public.v_vr_yearly_summary,
GET,/api/vr/new-employers,api.routers.vr,get_vr_new_employers,Get employers with VR but not yet in F7 data (new organizing),public.f7_employers_deduped; public.nlrb_regions; public.nlrb_voluntary_recognition; public.unions_master; public.v_vr_affiliation_summary; public.v_vr_map_data; public.v_vr_new_employers; public.v_vr_state_summary; public.v_vr_summary_stats; public.v_vr_to_f7_pipeline; public.v_vr_yearly_summary,
GET,/api/vr/pipeline,api.routers.vr,get_vr_pipeline,Analyze VR to F7 filing pipeline timing,public.f7_employers_deduped; public.nlrb_regions; public.nlrb_voluntary_recognition; public.unions_master; public.v_vr_affiliation_summary; public.v_vr_map_data; public.v_vr_new_employers; public.v_vr_state_summary; public.v_vr_summary_stats; public.v_vr_to_f7_pipeline; public.v_vr_yearly_summary,
GET,/api/vr/search,api.routers.vr,search_vr,Search Voluntary Recognition cases,public.f7_employers_deduped; public.nlrb_regions; public.nlrb_voluntary_recognition; public.unions_master; public.v_vr_affiliation_summary; public.v_vr_map_data; public.v_vr_new_employers; public.v_vr_state_summary; public.v_vr_summary_stats; public.v_vr_to_f7_pipeline; public.v_vr_yearly_summary,
GET,/api/vr/stats/by-affiliation,api.routers.vr,get_vr_by_affiliation,Get VR cases by union affiliation,public.f7_employers_deduped; public.nlrb_regions; public.nlrb_voluntary_recognition; public.unions_master; public.v_vr_affiliation_summary; public.v_vr_map_data; public.v_vr_new_employers; public.v_vr_state_summary; public.v_vr_summary_stats; public.v_vr_to_f7_pipeline; public.v_vr_yearly_summary,
GET,/api/vr/stats/by-state,api.routers.vr,get_vr_by_state,Get VR cases by state,public.f7_employers_deduped; public.nlrb_regions; public.nlrb_voluntary_recognition; public.unions_master; public.v_vr_affiliation_summary; public.v_vr_map_data; public.v_vr_new_employers; public.v_vr_state_summary; public.v_vr_summary_stats; public.v_vr_to_f7_pipeline; public.v_vr_yearly_summary,
GET,/api/vr/stats/by-year,api.routers.vr,get_vr_by_year,Get VR cases by year,public.f7_employers_deduped; public.nlrb_regions; public.nlrb_voluntary_recognition; public.unions_master; public.v_vr_affiliation_summary; public.v_vr_map_data; public.v_vr_new_employers; public.v_vr_state_summary; public.v_vr_summary_stats; public.v_vr_to_f7_pipeline; public.v_vr_yearly_summary,
GET,/api/vr/stats/summary,api.routers.vr,get_vr_summary,Get overall VR statistics,public.f7_employers_deduped; public.nlrb_regions; public.nlrb_voluntary_recognition; public.unions_master; public.v_vr_affiliation_summary; public.v_vr_map_data; public.v_vr_new_employers; public.v_vr_state_summary; public.v_vr_summary_stats; public.v_vr_to_f7_pipeline; public.v_vr_yearly_summary,
GET,/api/vr/{case_number},api.routers.vr,get_vr_detail,Get detailed info for a specific VR case,public.f7_employers_deduped; public.nlrb_regions; public.nlrb_voluntary_recognition; public.unions_master; public.v_vr_affiliation_summary; public.v_vr_map_data; public.v_vr_new_employers; public.v_vr_state_summary; public.v_vr_summary_stats; public.v_vr_to_f7_pipeline; public.v_vr_yearly_summary,
GET,/api/whd/by-state/{state},api.routers.whd,get_whd_by_state,Get WHD violations summary for a specific state,public.f7_employers_deduped; public.mergent_employers; public.whd_cases,
GET,/api/whd/employer/{employer_id},api.routers.whd,get_whd_employer_cases,Get WHD cases matched to a specific employer (F7 or Mergent),public.f7_employers_deduped; public.mergent_employers; public.whd_cases,
GET,/api/whd/search,api.routers.whd,search_whd_cases,"Search WHD cases by employer name, state, city, NAICS",public.f7_employers_deduped; public.mergent_employers; public.whd_cases,
GET,/api/whd/summary,api.routers.whd,get_whd_summary,Get WHD national database summary statistics,public.f7_employers_deduped; public.mergent_employers; public.whd_cases,
GET,/api/whd/top-violators,api.routers.whd,get_whd_top_violators,"Get worst WHD violators by backwages, violations, penalties, or employees affected",public.f7_employers_deduped; public.mergent_employers; public.whd_cases,
